,BRK-B,ARKK,VTV,MTUM,QUAL,IWM,USMV,Project-1 multi-asset portfolio
2015-08-31,-0.06095006215652621,-0.06511638011882392,-0.05843230176481862,-0.0600132041739212,-0.05413729240361709,-0.0631099742111424,-0.045302874457726516,-0.03699816396624478
2015-09-30,-0.027156069620789314,-0.06517402948421835,-0.025373206955594974,-0.018894652657101108,-0.012962911651213549,-0.04936314899915217,-0.006221319970182271,-0.010460929890799275
2015-10-31,0.0430982410968348,0.05907403753765683,0.0764818005443999,0.07315651288021408,0.08651747057567172,0.0562271091653177,0.05986348890587867,0.05042242951485054
2015-11-30,-0.014189147727891371,0.06532666252024333,0.005446422651770311,0.0053275838923558805,0.004415458162682517,0.03259918873010337,-0.002144722397211307,-0.008881356122399708
2015-12-31,-0.01538826241886183,-0.013432347000129973,-0.011535318146181594,-0.0014443625792967096,-0.017270857266174177,-0.05040400435860583,0.004944199259566673,-0.011630840336997138
2016-01-31,-0.01729167774230923,-0.18191809914589596,-0.04769544964304319,-0.038167970471468485,-0.046251541470342064,-0.0858753314966867,-0.013968985383925669,-0.015733150166858622
2016-02-29,0.033706093485565726,0.02130527874075392,0.0008302832799315986,-0.012965501463813167,0.005807209691426985,-0.002433637708012326,0.010226994201382155,0.011225381007104551
2016-03-31,0.05726446164632779,0.11851345513539344,0.0667872796919595,0.05287250411148434,0.05887040829304955,0.0799343946877826,0.05911699832548332,0.0456903009808076
2016-04-30,0.02527348971548248,-0.013168557296246119,0.015071473660427815,-0.006392819731934296,-0.004062311413386988,0.016622624631738237,-0.0037416233672700303,0.004326324775566481
2016-05-31,-0.0340565753813883,0.03220926455804095,0.01054086200019232,0.024404556403046607,0.010610057319536226,0.022304037692884904,0.01566393896407269,0.0028529938403554114
2016-06-30,0.03004050236965037,-0.010461481079425817,0.011054219544365673,0.029312518630064878,0.00463971918332049,-0.0003739062581752604,0.04468473422432127,0.024777791206790557
2016-07-31,-0.0037913325352828763,0.06719244620126472,0.027921062543901677,0.026631849375700935,0.03025454697722394,0.058548718919815036,0.014515433026126767,0.03194536135298807
2016-08-31,0.04291361361684241,0.0009656124545929014,0.006552109325404821,-0.015114182399156318,-0.0024057929535039823,0.017640776859361364,-0.019820398426369866,-0.005316023679859638
2016-09-30,-0.04020268491407788,0.0757678393128993,-0.004888431065766551,0.004731378425587996,-0.0012213414356016194,0.010538650658060011,-0.006673414504316155,0.0033268710814568837
2016-10-31,-0.001376702204671587,-0.10222896556879504,-0.011118931032551039,-0.019587215726814898,-0.02064725621151122,-0.046170872866282874,-0.0277145694960206,-0.022568332228345443
2016-11-30,0.0909602849047446,0.009590333249809724,0.05986496679413132,-0.006031558473147858,0.03000114243290918,0.11053306820218765,0.006011057289735599,-0.01835643165235502
2016-12-31,0.03488796494045162,-0.003283739422008691,0.026984091433769973,0.010652432983889038,0.01965154814260158,0.028544445108449078,0.024028568611715616,0.00985874934177008
2017-01-31,0.006717460378686768,0.10139569405859734,0.00454587400620583,0.031105292173613196,0.011177249202592955,0.0024179516609039277,0.012205294429228975,0.023262139435103756
2017-02-28,0.04395237484079102,0.04640617940804388,0.03544018363452124,0.03755545635541142,0.04652406589192988,0.018900408767887632,0.04502425964040553,0.02614387321179352
2017-03-31,-0.027951414909551255,0.03580819172784807,-0.00948276609977442,0.020223325070107566,-0.0007501598480395329,-3.967643862438057e-05,0.0009298979741793837,0.004964302815439992
2017-04-30,-0.009319210622197593,0.050000833932286326,-0.0008142181123590993,0.025271756547752877,0.00568101989342823,0.010992679822562301,0.013540163280309547,0.014341906119843706
2017-05-31,-0.0001763448787282623,0.12574096971833554,2.9138274300666875e-05,0.04705289119762483,0.01428051353219122,-0.020303862554427465,0.019445368923327534,0.015983007290019047
2017-06-30,0.02414586379536592,0.02056398605309877,0.01741108361965431,0.002853368837419202,0.005048883409753447,0.03314422500639706,-0.004144972157960124,-0.0008942197485599207
2017-07-31,0.03236374366747078,0.022512326110719773,0.014730958695819675,0.034062278657170854,0.009519132158526324,0.007824518473669308,0.019532718187230604,0.01832907560543299
2017-08-31,0.03447750699103071,0.15168915317309695,-0.005591735560731436,0.013777038190449521,0.0037587337030603584,-0.013478730424916418,0.006712358413768394,0.013349270538577497
2017-09-30,0.011023181819636586,0.003376408429703116,0.02891747656477207,0.027188851563957016,0.025616813088056866,0.06214121050762879,0.004266417521923039,-0.0007127015958429009
2017-10-31,0.018846863258548018,0.03473932097697653,0.017432972626027065,0.04947578835594259,0.028267603559750342,0.006388652834035459,0.018568041610770202,0.012573001461320467
2017-11-30,0.03167026846130585,0.046792322305288535,0.03441901096669366,0.02716034857186003,0.03522458479767256,0.02861177476310819,0.02998676162053129,0.012883488260261445
2017-12-31,0.026093455583372626,0.008752116985791937,0.015618612757926432,0.00032517135842636906,0.0115812471107012,-0.004885445384649844,0.001489369572540323,0.01141639869447232
2018-01-31,0.08042559561391803,0.11108979219117941,0.04602179847784559,0.08112641861089474,0.04461758557286399,0.024480832268340625,0.03376199942781121,0.027067045656265488
2018-02-28,-0.034591966466252407,-0.009101925775489305,-0.04547268201378785,-0.015704471055065904,-0.03016943715602839,-0.039536494936792684,-0.043575161466484776,-0.031867123947018856
